date,publisher,candidate,count
2020-03-01,NewYorkTimes,Trump,42
2020-03-02,Buzzfeed,Trump,670
2020-03-02,NewYorkTimes,Trump,372
2020-03-03,Buzzfeed,Trump,170
2020-03-04,Buzzfeed,Trump,200
2020-03-04,Fox,Trump,35
2020-03-05,Buzzfeed,Trump,70
2020-03-05,Fox,Trump,14
2020-03-06,AP,Trump,150
2020-03-06,Breitbart,Trump,168
2020-03-06,Buzzfeed,Trump,10
2020-03-06,Fox,Trump,0
2020-03-06,NewYorkTimes,Trump,7
2020-03-07,AP,Trump,606
2020-03-07,Breitbart,Trump,158
2020-03-07,Buzzfeed,Trump,0
2020-03-07,Fox,Trump,49
2020-03-07,NBC,Trump,279
2020-03-07,NewYorkTimes,Trump,777
2020-03-08,AP,Trump,246
2020-03-08,Breitbart,Trump,126
2020-03-08,Fox,Trump,245
2020-03-08,NBC,Trump,162
2020-03-08,NewYorkTimes,Trump,434
2020-03-09,AP,Trump,504
2020-03-09,Breitbart,Trump,88
2020-03-09,Buzzfeed,Trump,90
2020-03-09,Fox,Trump,679
2020-03-09,NBC,Trump,423
2020-03-09,NewYorkTimes,Trump,735
2020-03-10,AP,Trump,1180
2020-03-10,Buzzfeed,Trump,170
2020-03-10,Fox,Trump,329
2020-03-10,NBC,Trump,261
2020-03-10,NewYorkTimes,Trump,28
2020-03-11,AP,Trump,714
2020-03-11,Buzzfeed,Trump,60
2020-03-11,Fox,Trump,84
2020-03-11,NBC,Trump,576
2020-03-12,AP,Trump,1326
2020-03-12,Breitbart,Trump,160
2020-03-12,Buzzfeed,Trump,280
2020-03-12,Fox,Trump,378
2020-03-12,NBC,Trump,1026
2020-03-12,NewYorkTimes,Trump,336
2020-03-13,AP,Trump,462
2020-03-13,Breitbart,Trump,200
2020-03-13,Buzzfeed,Trump,590
2020-03-13,Fox,Trump,651
2020-03-13,NBC,Trump,792
2020-03-13,NewYorkTimes,Trump,938
2020-03-13,Politico,Trump,1442
2020-03-13,WashingtonTimes,Trump,414
2020-03-14,AP,Trump,750
2020-03-14,Breitbart,Trump,100
2020-03-14,Buzzfeed,Trump,0
2020-03-14,Fox,Trump,637
2020-03-14,NBC,Trump,459
2020-03-14,NewYorkTimes,Trump,2303
2020-03-14,Politico,Trump,1211
2020-03-14,WashingtonTimes,Trump,171
2020-03-15,AP,Trump,300
2020-03-15,Breitbart,Trump,54
2020-03-15,Buzzfeed,Trump,0
2020-03-15,Fox,Trump,140
2020-03-15,NBC,Trump,585
2020-03-15,NewYorkTimes,Trump,252
2020-03-15,Politico,Trump,273
2020-03-15,WashingtonTimes,Trump,531
2020-03-16,AP,Trump,612
2020-03-16,Breitbart,Trump,188
2020-03-16,Buzzfeed,Trump,90
2020-03-16,Fox,Trump,474
2020-03-16,NBC,Trump,567
2020-03-16,NewYorkTimes,Trump,560
2020-03-16,Politico,Trump,980
2020-03-16,WashingtonTimes,Trump,756
2020-03-17,AP,Trump,1128
2020-03-17,Breitbart,Trump,286
2020-03-17,Buzzfeed,Trump,40
2020-03-17,Fox,Trump,726
2020-03-17,NBC,Trump,459
2020-03-17,NewYorkTimes,Trump,462
2020-03-17,Politico,Trump,896
2020-03-17,WashingtonTimes,Trump,1080
2020-03-18,AP,Trump,1332
2020-03-18,Breitbart,Trump,310
2020-03-18,Buzzfeed,Trump,300
2020-03-18,Fox,Trump,1078
2020-03-18,NBC,Trump,433
2020-03-18,NewYorkTimes,Trump,287
2020-03-18,Politico,Trump,1029
2020-03-18,WashingtonTimes,Trump,981
2020-03-19,AP,Trump,1626
2020-03-19,Breitbart,Trump,236
2020-03-19,Buzzfeed,Trump,40
2020-03-19,Fox,Trump,889
2020-03-19,NBC,Trump,695
2020-03-19,NewYorkTimes,Trump,392
2020-03-19,Politico,Trump,2296
2020-03-19,WashingtonTimes,Trump,649
2020-03-20,AP,Trump,1812
2020-03-20,Breitbart,Trump,440
2020-03-20,Buzzfeed,Trump,208
2020-03-20,Fox,Trump,1281
2020-03-20,NBC,Trump,1749
2020-03-20,NewYorkTimes,Trump,280
2020-03-20,Politico,Trump,1932
2020-03-20,WashingtonTimes,Trump,320
2020-03-21,AP,Trump,804
2020-03-21,Breitbart,Trump,130
2020-03-21,Buzzfeed,Trump,120
2020-03-21,Fox,Trump,343
2020-03-21,NBC,Trump,289
2020-03-21,NewYorkTimes,Trump,280
2020-03-21,Politico,Trump,854
2020-03-21,WashingtonTimes,Trump,223
2020-03-22,AP,Trump,817
2020-03-22,Breitbart,Trump,119
2020-03-22,Fox,Trump,444
2020-03-22,NBC,Trump,515
2020-03-22,NewYorkTimes,Trump,252
2020-03-22,Politico,Trump,1809
2020-03-22,WashingtonTimes,Trump,923
2020-03-23,AP,Trump,900
2020-03-23,Breitbart,Trump,124
2020-03-23,Buzzfeed,Trump,224
2020-03-23,Fox,Trump,803
2020-03-23,NBC,Trump,217
2020-03-23,NewYorkTimes,Trump,456
2020-03-23,Politico,Trump,1410
2020-03-23,WashingtonTimes,Trump,616
2020-03-24,AP,Trump,345
2020-03-24,Breitbart,Trump,201
2020-03-24,Buzzfeed,Trump,441
2020-03-24,Fox,Trump,1768
2020-03-24,NBC,Trump,1429
2020-03-24,NewYorkTimes,Trump,354
2020-03-24,Politico,Trump,3072
2020-03-24,WashingtonTimes,Trump,819
2020-03-25,AP,Trump,203
2020-03-25,Breitbart,Trump,103
2020-03-25,Buzzfeed,Trump,187
2020-03-25,Fox,Trump,972
2020-03-25,NBC,Trump,649
2020-03-25,NewYorkTimes,Trump,78
2020-03-25,Politico,Trump,1848
2020-03-25,WashingtonTimes,Trump,504
2020-03-26,AP,Trump,946
2020-03-26,Breitbart,Trump,128
2020-03-26,Fox,Trump,540
2020-03-26,NBC,Trump,697
2020-03-26,NewYorkTimes,Trump,5
2020-03-26,Politico,Trump,735
2020-03-26,WashingtonTimes,Trump,582
2020-03-27,AP,Trump,694
2020-03-27,Breitbart,Trump,182
2020-03-27,Buzzfeed,Trump,108
2020-03-27,Fox,Trump,907
2020-03-27,NBC,Trump,630
2020-03-27,NewYorkTimes,Trump,285
2020-03-27,Politico,Trump,1560
2020-03-27,WashingtonTimes,Trump,761
2020-03-28,AP,Trump,461
2020-03-28,Breitbart,Trump,75
2020-03-28,Buzzfeed,Trump,10
2020-03-28,Fox,Trump,248
2020-03-28,NBC,Trump,212
2020-03-28,NewYorkTimes,Trump,200
2020-03-28,Politico,Trump,572
2020-03-28,WashingtonTimes,Trump,211
2020-03-29,AP,Trump,237
2020-03-29,Breitbart,Trump,77
2020-03-29,Buzzfeed,Trump,5
2020-03-29,Fox,Trump,680
2020-03-29,NBC,Trump,405
2020-03-29,NewYorkTimes,Trump,268
2020-03-29,Politico,Trump,288
2020-03-29,WashingtonTimes,Trump,310
2020-03-30,AP,Trump,594
2020-03-30,Breitbart,Trump,93
2020-03-30,Buzzfeed,Trump,15
2020-03-30,Fox,Trump,644
2020-03-30,NBC,Trump,555
2020-03-30,NewYorkTimes,Trump,608
2020-03-30,Politico,Trump,556
2020-03-30,WashingtonTimes,Trump,320
2020-03-31,AP,Trump,504
2020-03-31,Breitbart,Trump,132
2020-03-31,Buzzfeed,Trump,50
2020-03-31,Fox,Trump,632
2020-03-31,NBC,Trump,440
2020-03-31,NewYorkTimes,Trump,164
2020-03-31,Politico,Trump,732
2020-03-31,WashingtonTimes,Trump,715
2020-04-01,AP,Trump,630
2020-04-01,Breitbart,Trump,99
2020-04-01,Buzzfeed,Trump,140
2020-04-01,Fox,Trump,666
2020-04-01,NBC,Trump,396
2020-04-01,NewYorkTimes,Trump,256
2020-04-01,Politico,Trump,1184
2020-04-01,WashingtonTimes,Trump,265
2020-04-02,AP,Trump,552
2020-04-02,Breitbart,Trump,132
2020-04-02,Fox,Trump,738
2020-04-02,NBC,Trump,959
2020-04-02,NewYorkTimes,Trump,324
2020-04-02,Politico,Trump,1072
2020-04-02,WashingtonTimes,Trump,440
2020-04-03,AP,Trump,449
2020-04-03,Breitbart,Trump,129
2020-04-03,Buzzfeed,Trump,109
2020-04-03,Fox,Trump,585
2020-04-03,NBC,Trump,451
2020-04-03,NewYorkTimes,Trump,46
2020-04-03,Politico,Trump,1379
2020-04-03,WashingtonTimes,Trump,920
2020-04-04,AP,Trump,157
2020-04-04,Breitbart,Trump,66
2020-04-04,Buzzfeed,Trump,69
2020-04-04,Fox,Trump,148
2020-04-04,NBC,Trump,358
2020-04-04,NewYorkTimes,Trump,56
2020-04-04,Politico,Trump,220
2020-04-04,WashingtonTimes,Trump,171
2020-04-05,AP,Trump,220
2020-04-05,Breitbart,Trump,63
2020-04-05,Fox,Trump,136
2020-04-05,NBC,Trump,186
2020-04-05,NewYorkTimes,Trump,86
2020-04-05,Politico,Trump,338
2020-04-05,WashingtonTimes,Trump,468
2020-04-06,AP,Trump,220
2020-04-06,Breitbart,Trump,124
2020-04-06,Buzzfeed,Trump,6
2020-04-06,Fox,Trump,539
2020-04-06,NBC,Trump,285
2020-04-06,NewYorkTimes,Trump,206
2020-04-06,Politico,Trump,610
2020-04-06,WashingtonTimes,Trump,447
2020-04-07,AP,Trump,107
2020-04-07,Breitbart,Trump,76
2020-04-07,Fox,Trump,218
2020-04-07,NBC,Trump,264
2020-04-07,NewYorkTimes,Trump,26
2020-04-07,Politico,Trump,482
2020-04-07,WashingtonTimes,Trump,273
2020-04-08,AP,Trump,138
2020-04-08,Breitbart,Trump,157
2020-04-08,Buzzfeed,Trump,57
2020-04-08,Fox,Trump,376
2020-04-08,NBC,Trump,411
2020-04-08,NewYorkTimes,Trump,172
2020-04-08,Politico,Trump,506
2020-04-08,WashingtonTimes,Trump,246
2020-04-09,AP,Trump,161
2020-04-09,Breitbart,Trump,87
2020-04-09,Buzzfeed,Trump,15
2020-04-09,Fox,Trump,434
2020-04-09,NBC,Trump,354
2020-04-09,NewYorkTimes,Trump,148
2020-04-09,Politico,Trump,394
2020-04-09,WashingtonTimes,Trump,345
2020-04-10,AP,Trump,152
2020-04-10,Breitbart,Trump,95
2020-04-10,Fox,Trump,495
2020-04-10,NBC,Trump,165
2020-04-10,NewYorkTimes,Trump,166
2020-04-10,Politico,Trump,440
2020-04-10,WashingtonTimes,Trump,417
2020-04-11,AP,Trump,72
2020-04-11,Breitbart,Trump,54
2020-04-11,Buzzfeed,Trump,51
2020-04-11,Fox,Trump,28
2020-04-11,NBC,Trump,312
2020-04-11,NewYorkTimes,Trump,116
2020-04-11,Politico,Trump,258
2020-04-11,WashingtonTimes,Trump,12
2020-04-12,AP,Trump,158
2020-04-12,Breitbart,Trump,77
2020-04-12,Fox,Trump,84
2020-04-12,NBC,Trump,114
2020-04-12,NewYorkTimes,Trump,56
2020-04-12,Politico,Trump,260
2020-04-12,WashingtonTimes,Trump,393
2020-04-13,AP,Trump,184
2020-04-13,Breitbart,Trump,125
2020-04-13,Buzzfeed,Trump,0
2020-04-13,Fox,Trump,378
2020-04-13,NBC,Trump,396
2020-04-13,NewYorkTimes,Trump,120
2020-04-13,Politico,Trump,568
2020-04-13,WashingtonTimes,Trump,501
2020-04-14,AP,Trump,210
2020-04-14,Breitbart,Trump,87
2020-04-14,Buzzfeed,Trump,60
2020-04-14,Fox,Trump,308
2020-04-14,NBC,Trump,387
2020-04-14,NewYorkTimes,Trump,40
2020-04-14,Politico,Trump,590
2020-04-14,WashingtonTimes,Trump,222
2020-04-15,AP,Trump,254
2020-04-15,Breitbart,Trump,178
2020-04-15,Buzzfeed,Trump,39
2020-04-15,Fox,Trump,378
2020-04-15,NBC,Trump,378
2020-04-15,NewYorkTimes,Trump,72
2020-04-15,Politico,Trump,690
2020-04-15,WashingtonTimes,Trump,516
2020-04-16,AP,Trump,150
2020-04-16,Breitbart,Trump,102
2020-04-16,Buzzfeed,Trump,45
2020-04-16,Fox,Trump,351
2020-04-16,NBC,Trump,338
2020-04-16,Politico,Trump,617
2020-04-16,WashingtonTimes,Trump,256
2020-04-17,AP,Trump,74
2020-04-17,Breitbart,Trump,164
2020-04-17,Buzzfeed,Trump,16
2020-04-17,Fox,Trump,161
2020-04-17,NBC,Trump,264
2020-04-17,Politico,Trump,555
2020-04-17,WashingtonTimes,Trump,151
2020-04-18,Breitbart,Trump,66
2020-04-18,Fox,Trump,62
2020-04-18,NBC,Trump,128
2020-04-18,Politico,Trump,95
2020-04-18,WashingtonTimes,Trump,178
2020-04-19,Breitbart,Trump,30
2020-04-19,Fox,Trump,3
2020-03-01,NewYorkTimes,Sanders,0
2020-03-02,Buzzfeed,Sanders,140
2020-03-02,NewYorkTimes,Sanders,0
2020-03-03,Buzzfeed,Sanders,850
2020-03-04,Buzzfeed,Sanders,200
2020-03-04,Fox,Sanders,224
2020-03-05,Buzzfeed,Sanders,190
2020-03-05,Fox,Sanders,42
2020-03-06,AP,Sanders,60
2020-03-06,Breitbart,Sanders,36
2020-03-06,Buzzfeed,Sanders,0
2020-03-06,Fox,Sanders,21
2020-03-06,NewYorkTimes,Sanders,469
2020-03-07,AP,Sanders,384
2020-03-07,Breitbart,Sanders,128
2020-03-07,Buzzfeed,Sanders,630
2020-03-07,Fox,Sanders,70
2020-03-07,NBC,Sanders,261
2020-03-07,NewYorkTimes,Sanders,175
2020-03-08,AP,Sanders,396
2020-03-08,Breitbart,Sanders,14
2020-03-08,Fox,Sanders,161
2020-03-08,NBC,Sanders,189
2020-03-08,NewYorkTimes,Sanders,840
2020-03-09,AP,Sanders,486
2020-03-09,Breitbart,Sanders,82
2020-03-09,Buzzfeed,Sanders,340
2020-03-09,Fox,Sanders,1064
2020-03-09,NBC,Sanders,639
2020-03-09,NewYorkTimes,Sanders,686
2020-03-10,AP,Sanders,736
2020-03-10,Buzzfeed,Sanders,530
2020-03-10,Fox,Sanders,455
2020-03-10,NBC,Sanders,531
2020-03-10,NewYorkTimes,Sanders,0
2020-03-11,AP,Sanders,540
2020-03-11,Buzzfeed,Sanders,550
2020-03-11,Fox,Sanders,252
2020-03-11,NBC,Sanders,1314
2020-03-12,AP,Sanders,342
2020-03-12,Breitbart,Sanders,42
2020-03-12,Buzzfeed,Sanders,100
2020-03-12,Fox,Sanders,287
2020-03-12,NBC,Sanders,360
2020-03-12,NewYorkTimes,Sanders,91
2020-03-13,AP,Sanders,156
2020-03-13,Breitbart,Sanders,16
2020-03-13,Buzzfeed,Sanders,80
2020-03-13,Fox,Sanders,182
2020-03-13,NBC,Sanders,198
2020-03-13,NewYorkTimes,Sanders,133
2020-03-13,Politico,Sanders,49
2020-03-13,WashingtonTimes,Sanders,153
2020-03-14,AP,Sanders,144
2020-03-14,Breitbart,Sanders,36
2020-03-14,Buzzfeed,Sanders,60
2020-03-14,Fox,Sanders,98
2020-03-14,NBC,Sanders,252
2020-03-14,NewYorkTimes,Sanders,679
2020-03-14,Politico,Sanders,343
2020-03-14,WashingtonTimes,Sanders,0
2020-03-15,AP,Sanders,348
2020-03-15,Breitbart,Sanders,24
2020-03-15,Buzzfeed,Sanders,390
2020-03-15,Fox,Sanders,196
2020-03-15,NBC,Sanders,774
2020-03-15,NewYorkTimes,Sanders,1120
2020-03-15,Politico,Sanders,546
2020-03-15,WashingtonTimes,Sanders,657
2020-03-16,AP,Sanders,750
2020-03-16,Breitbart,Sanders,38
2020-03-16,Buzzfeed,Sanders,10
2020-03-16,Fox,Sanders,614
2020-03-16,NBC,Sanders,1431
2020-03-16,NewYorkTimes,Sanders,301
2020-03-16,Politico,Sanders,161
2020-03-16,WashingtonTimes,Sanders,270
2020-03-17,AP,Sanders,1032
2020-03-17,Breitbart,Sanders,136
2020-03-17,Buzzfeed,Sanders,60
2020-03-17,Fox,Sanders,844
2020-03-17,NBC,Sanders,387
2020-03-17,NewYorkTimes,Sanders,665
2020-03-17,Politico,Sanders,616
2020-03-17,WashingtonTimes,Sanders,531
2020-03-18,AP,Sanders,894
2020-03-18,Breitbart,Sanders,100
2020-03-18,Buzzfeed,Sanders,20
2020-03-18,Fox,Sanders,847
2020-03-18,NBC,Sanders,800
2020-03-18,NewYorkTimes,Sanders,329
2020-03-18,Politico,Sanders,224
2020-03-18,WashingtonTimes,Sanders,315
2020-03-19,AP,Sanders,84
2020-03-19,Breitbart,Sanders,22
2020-03-19,Buzzfeed,Sanders,10
2020-03-19,Fox,Sanders,154
2020-03-19,NBC,Sanders,54
2020-03-19,NewYorkTimes,Sanders,21
2020-03-19,Politico,Sanders,63
2020-03-19,WashingtonTimes,Sanders,315
2020-03-20,AP,Sanders,90
2020-03-20,Breitbart,Sanders,4
2020-03-20,Buzzfeed,Sanders,0
2020-03-20,Fox,Sanders,133
2020-03-20,NBC,Sanders,121
2020-03-20,NewYorkTimes,Sanders,28
2020-03-20,Politico,Sanders,28
2020-03-20,WashingtonTimes,Sanders,16
2020-03-21,AP,Sanders,0
2020-03-21,Breitbart,Sanders,22
2020-03-21,Buzzfeed,Sanders,0
2020-03-21,Fox,Sanders,21
2020-03-21,NBC,Sanders,128
2020-03-21,NewYorkTimes,Sanders,497
2020-03-21,Politico,Sanders,189
2020-03-21,WashingtonTimes,Sanders,40
2020-03-22,AP,Sanders,0
2020-03-22,Breitbart,Sanders,8
2020-03-22,Fox,Sanders,141
2020-03-22,NBC,Sanders,29
2020-03-22,NewYorkTimes,Sanders,36
2020-03-22,Politico,Sanders,141
2020-03-22,WashingtonTimes,Sanders,22
2020-03-23,AP,Sanders,70
2020-03-23,Breitbart,Sanders,12
2020-03-23,Buzzfeed,Sanders,0
2020-03-23,Fox,Sanders,66
2020-03-23,NBC,Sanders,98
2020-03-23,NewYorkTimes,Sanders,18
2020-03-23,Politico,Sanders,60
2020-03-23,WashingtonTimes,Sanders,70
2020-03-24,AP,Sanders,0
2020-03-24,Breitbart,Sanders,10
2020-03-24,Buzzfeed,Sanders,0
2020-03-24,Fox,Sanders,120
2020-03-24,NBC,Sanders,84
2020-03-24,NewYorkTimes,Sanders,55
2020-03-24,Politico,Sanders,204
2020-03-24,WashingtonTimes,Sanders,7
2020-03-25,AP,Sanders,75
2020-03-25,Breitbart,Sanders,9
2020-03-25,Buzzfeed,Sanders,34
2020-03-25,Fox,Sanders,252
2020-03-25,NBC,Sanders,150
2020-03-25,NewYorkTimes,Sanders,60
2020-03-25,Politico,Sanders,240
2020-03-25,WashingtonTimes,Sanders,56
2020-03-26,AP,Sanders,0
2020-03-26,Breitbart,Sanders,21
2020-03-26,Fox,Sanders,25
2020-03-26,NBC,Sanders,85
2020-03-26,NewYorkTimes,Sanders,65
2020-03-26,Politico,Sanders,6
2020-03-26,WashingtonTimes,Sanders,60
2020-03-27,AP,Sanders,0
2020-03-27,Breitbart,Sanders,14
2020-03-27,Buzzfeed,Sanders,0
2020-03-27,Fox,Sanders,95
2020-03-27,NBC,Sanders,6
2020-03-27,NewYorkTimes,Sanders,30
2020-03-27,Politico,Sanders,95
2020-03-27,WashingtonTimes,Sanders,18
2020-03-28,AP,Sanders,0
2020-03-28,Breitbart,Sanders,0
2020-03-28,Buzzfeed,Sanders,0
2020-03-28,Fox,Sanders,0
2020-03-28,NBC,Sanders,115
2020-03-28,NewYorkTimes,Sanders,0
2020-03-28,Politico,Sanders,65
2020-03-28,WashingtonTimes,Sanders,5
2020-03-29,AP,Sanders,15
2020-03-29,Breitbart,Sanders,8
2020-03-29,Buzzfeed,Sanders,0
2020-03-29,Fox,Sanders,16
2020-03-29,NBC,Sanders,0
2020-03-29,NewYorkTimes,Sanders,4
2020-03-29,Politico,Sanders,0
2020-03-29,WashingtonTimes,Sanders,0
2020-03-30,AP,Sanders,0
2020-03-30,Breitbart,Sanders,6
2020-03-30,Buzzfeed,Sanders,0
2020-03-30,Fox,Sanders,68
2020-03-30,NBC,Sanders,105
2020-03-30,NewYorkTimes,Sanders,36
2020-03-30,Politico,Sanders,44
2020-03-30,WashingtonTimes,Sanders,20
2020-03-31,AP,Sanders,0
2020-03-31,Breitbart,Sanders,8
2020-03-31,Buzzfeed,Sanders,0
2020-03-31,Fox,Sanders,84
2020-03-31,NBC,Sanders,60
2020-03-31,NewYorkTimes,Sanders,20
2020-03-31,Politico,Sanders,16
2020-03-31,WashingtonTimes,Sanders,15
2020-04-01,AP,Sanders,42
2020-04-01,Breitbart,Sanders,6
2020-04-01,Buzzfeed,Sanders,5
2020-04-01,Fox,Sanders,160
2020-04-01,NBC,Sanders,50
2020-04-01,NewYorkTimes,Sanders,164
2020-04-01,Politico,Sanders,36
2020-04-01,WashingtonTimes,Sanders,10
2020-04-02,AP,Sanders,27
2020-04-02,Breitbart,Sanders,6
2020-04-02,Fox,Sanders,34
2020-04-02,NBC,Sanders,80
2020-04-02,NewYorkTimes,Sanders,68
2020-04-02,Politico,Sanders,28
2020-04-02,WashingtonTimes,Sanders,45
2020-04-03,AP,Sanders,25
2020-04-03,Breitbart,Sanders,19
2020-04-03,Buzzfeed,Sanders,0
2020-04-03,Fox,Sanders,159
2020-04-03,NBC,Sanders,14
2020-04-03,NewYorkTimes,Sanders,0
2020-04-03,Politico,Sanders,236
